country,agree being LGBTI should be a crime,disagree being LGBTI should be a crime
Algeria,43,35
Argentina,13,67
Australia,15,66
Bolivia,18,54
Brazil,11,68
Canada,13,69
Chile,13,65
China,20,59
Colombia,13,60
Costa Rica,12,64
Croatia,9,72
Dominican Republic,18,56
Ecuador,14,59
Egypt,44,35
France,17,58
Ghana,54,25
India,31,50
Indonesia,38,37
Iraq,43,35
Ireland,12,73
Israel,24,59
Italy,11,74
Jamaica,20,47
Japan,12,61
Jordan,47,31
Kazakhstan,41,45
Kenya,46,37
Malaysia,35,40
Mexico,12,62
Morocco,39,39
Netherlands,15,76
New Zealand,12,64
Nicaragua,14,56
Nigeria,59,23
Pakistan,54,28
Peru,16,57
Philippines,20,59
Poland,23,53
Portugal,9,75
Russia,28,55
Saudi Arabia,49,32
Serbia,19,58
South Africa,22,61
Spain,13,72
Trinidad and Tobago,20,52
Turkey,31,48
UAE,45,32
Uganda,53,31
UK,22,61
Ukraine,22,56
United States,13,65
Venezuela,13,60
Vietnam,17,61
Zimbabwe,44,33
