country,homosexuality should be accepted by society,homosexuality should not be accepted by society
Argentina,74,21
Australia,79,18
Bolivia,43,49
Brazil,60,36
Britain,76,18
Canada,80,14
Chile,68,24
China,21,57
Czech Republic,80,16
Egypt,3,95
El Salvador,34,62
France,77,22
Germany,87,11
Ghana,3,96
Greece,53,40
Indonesia,3,93
Israel,40,47
Italy,74,18
Japan,54,36
Jordan,3,97
Kenya,8,90
Lebanon,18,80
Malaysia,9,86
Mexico,61,30
Nigeria,1,98
Pakistan,2,87
Palestinian ter.,4,93
Philippines,73,26
Poland,42,46
Russia,16,74
Senegal,3,96
South Africa,32,61
South Korea,39,59
Spain,88,11
Tunisia,2,94
Turkey,9,78
Uganda,4,96
United States,60,33
Venezuela,51,42
