Rank,Country,Employment rate
39,Albania,56.2
12,Australia,71.6
13,Austria,71.1
31,Belgium,61.9
44,Bosnia and Herzegovina,41.3
21,Brazil,66.7
11,Canada,72.3
30,Chile,62.2
20,Colombia,67.1
35,Costa Rica,61.7
16,Czech Republic,69.0
9,Denmark,72.8
14,Estonia,69.6
17,Finland,68.9
27,France,64.2
7,Germany,73.8
32,Hungary,61.8
1,Iceland,82.2
33,India,61.7
36,Ireland,61.3
19,Israel,67.9
41,Italy,56.5
10,Japan,72.8
45,Kosovo,29.2
23,Latvia,66.3
26,Lithuania,65.7
22,Luxembourg,66.6
38,Mexico,60.4
8,Netherlands,73.1
6,New Zealand,74.2
3,Norway,75.3
25,OECD Average,65.8
34,Poland,61.7
29,Portugal,62.6
15,Russia,69.3
43,Serbia,45.9
37,Slovakia,61.0
28,Slovenia,63.9
24,South Korea,65.9
40,Spain,56.8
4,Sweden,74.8
2,Switzerland,79.8
42,Turkey,49.5
5,United Kingdom,74.5
18,United States,68.1
